date,name,count
2019-07-27,https://decentralised-islands.netlify.com,10
2019-07-27,https://tribe-chat.herokuapp.com,10
2019-07-27,https://awesome-northcutt-afeef6.netlify.com,10
2019-07-27,https://app.benison.xyz,9
2019-07-27,http://127.0.0.1:3001,9
2019-07-27,https://dev.decs.xyz,9
2019-07-27,http://dcms.brightblock.org,9
2019-07-27,https://whenhub-blockstack-oauth.azurewebsites.net,9
2019-07-27,https://gallant-sinoussi-734e73.netlify.com,9
2019-07-27,https://staging-publishing.graphitedocs.com,9
2019-07-27,https://18.222.91.187:8002,9
2019-07-27,https://dphone.azurewebsites.net,9
2019-07-27,http://blockx-socialapp.herokuapp.com,9
2019-07-27,https://4ork.netlify.com,8
2019-07-27,https://octokitties-cc0b2.firebaseapp.com,8
2019-07-27,https://dshare-blockstack.herokuapp.com,8
2019-07-27,https://develop--hungry-lamarr-cfbb1a.netlify.com,8
2019-07-27,https://www.keeperprofiles.com,8
2019-07-27,https://www.sybella.io,8
2019-07-27,https://www.textlibrary.co,7
2019-07-27,https://amazing-bell-39b882.netlify.com,7
2019-07-27,https://paise.netlify.com,7
2019-07-27,https://gaia_admin.brightblock.org,7
2019-07-27,https://blockusign.azurewebsites.net,7
2019-07-27,https://blockstack-ump.herokuapp.com,7
2019-07-27,https://sheetyapp.azurewebsites.net,7
2019-07-27,https://hodor-dapp.web.app,7
2019-07-27,https://fervent-lovelace-879be0.netlify.com,7
2019-07-27,https://www.justsnake.live,6
2019-07-27,http://blkbreakout.herokuapp.com,6
2019-07-27,http://18.188.34.104,6
2019-07-27,https://chat.hihermes.co,6
2019-07-27,https://heywebby.app,6
2019-07-27,http://www.stealthy.im,6
2019-07-27,http://keeperprofiles.appspot.com,6
2019-07-27,https://quizzical-heisenberg-d3c37c.netlify.com,6
2019-07-27,http://proto.galanimail.org,6
2019-07-27,https://festive-bhabha-7e881b.netlify.com,6
2019-07-27,https://testnet.blockcred.io,6
2019-07-27,https://beta-dev.springrole.com,6
2019-07-27,https://www.milacrm.com,6
2019-07-27,https://stage.coins.engineering,6
2019-07-27,https://b4pwebdev.azurewebsites.net,6
2019-07-27,https://zen-thompson-59a12f.netlify.com,6
2019-07-27,https://shaieste.gitlab.io/,6
2019-07-27,https://staging.transit8.com,6
2019-07-27,https://dhasdk.bitbucket.io,6
2019-07-27,https://pressure.carolkng.com,5
2019-07-27,https://cryptocracy-sandbox-001.netlify.com,5
2019-07-27,http://sybella.io,5
2019-07-27,https://www.ourtopia.co,5
2019-07-27,https://banter-radiks-staging-pr-26.herokuapp.com,5
2019-07-27,http://www.chat.hihermes.co,5
2019-07-27,https://detrade.me,5
2019-07-27,https://lattice.centralindia.cloudapp.azure.com,5
2019-07-27,https://friendly-noether-b006cc.netlify.com,5
2019-07-27,https://www.brightblock.org,5
2019-07-27,https://streetcoin.nz,5
2019-07-27,https://alpha.clove.app,5
2019-07-27,https://paidapp.paid.now.sh,5
2019-07-27,https://animalskingdoms.netlify.com,5
2019-07-27,https://condescending-fermat-e43740.netlify.com,5
2019-07-27,https://publish-dev.aws.mbusa.com,5
2019-07-27,https://cocky-spence-96f8bc.netlify.com,5
2019-07-27,https://flamboyant-darwin-d11c17.netlify.com,5
2019-07-27,https://eats-money-do-not-use.netlify.com,5
2019-07-27,http://todos.local:8080,5
2019-07-27,https://kanstack.herokuapp.com,5
2019-07-27,https://mystifying-montalcini-5975b6.netlify.com,4
